Pack_Type,Rank,dimN,Sim_Type,SVD Method,Timing, MeanError, MaxError,Frobenius,Compres,ID
1,64,2048,1,1,275.329,9863.08,115257,2.01E+07,16,2048064111
2,64,2048,1,0,2798.17,476.672,1631.47,992853,16,2048064120
2,64,2048,1,1,277.81,10917.2,116786,2.01E+07,16,2048064121
0,64,2048,2,0,129.598,4.38E-05,0.000244141,0.147239,16,2048064200
0,64,2048,2,1,239.892,104.057,9708.11,203047,16,2048064201
1,64,2048,2,0,558.57,4.58E-05,0.000244141,0.123896,16,2048064210
1,64,2048,2,1,239.716,106.639,12628.5,204576,16,2048064211
2,64,2048,2,0,419.72,3.60E-05,0.000183105,0.117314,16,2048064220
2,64,2048,2,1,240.775,81.9637,12559,204536,16,2048064221
0,64,2048,3,0,495.195,3.33E-05,0.000183105,0.11715,16,2048064300
0,64,2048,3,1,242.924,179.398,11723.7,204570,16,2048064301
1,64,2048,3,0,849.163,5.43E-05,0.000244141,0.146948,16,2048064310
1,64,2048,3,1,244.939,181.319,10355.1,208847,16,2048064311
2,64,2048,3,0,302.318,6.73E-05,0.000244141,0.16063,16,2048064320
2,64,2048,3,1,243.504,161.474,7975.05,203053,16,2048064321
0,64,2048,4,0,1904.93,9.43E-05,0.000976562,0.301099,16,2048064400
0,64,2048,4,1,238.279,124.583,4971.83,210508,16,2048064401
1,64,2048,4,0,2148.36,0.000224865,0.00299072,0.560848,16,2048064410
1,64,2048,4,1,239.864,182.683,6321.97,214066,16,2048064411
2,64,2048,4,0,1192.64,0.000106341,0.00109863,0.314005,16,2048064420
2,64,2048,4,1,239.675,155.742,10125.1,208716,16,2048064421
0,64,2048,5,0,655.643,0,0,0,16,2048064500
0,64,2048,5,1,237.035,36.9614,3031.61,45152.9,16,2048064501
1,64,2048,5,0,1319.31,2.35E-05,0.000152588,0.0564319,16,2048064510
1,64,2048,5,1,239.163,44.4991,2542.54,46211,16,2048064511
2,64,2048,5,0,455.773,1.19E-05,6.10E-05,0.0367201,16,2048064520
2,64,2048,5,1,237.908,26.3446,2040.83,45147.4,16,2048064521
