Agent_Num,Pack_Type,Rank,dimM,dimN,Sim_Type,SVDMethod,Spatial_Size,y2, MeanError, z2,Frobenius,Total_Raw,x2
1048576,2,8,4096,1024,5,1,2048,93.902,35.4066000000,290.3380000000,18257.4000000000,102,173
1048576,1,8,4096,1024,5,1,2048,93.8509,69.2402000000,290.2270000000,20876.6000000000,102,174
1048576,2,4,8192,512,5,0,2048,52.0741,0.0000149000,0.0000610000,723.0590000000,120,175
1048576,0,4,8192,512,5,0,2048,51.7178,0.2019710000,0.9438020000,723.2680000000,120,176
1048576,2,4,8192,512,5,1,2048,43.2259,43.1692000000,142.9060000000,14502.3000000000,120,177
1048576,0,4,8192,512,5,1,2048,43.4797,37.3939000000,143.8410000000,14534.9000000000,120,178
1048576,1,4,8192,512,5,0,2048,80.1024,11.9421000000,29.1293000000,33391.9000000000,120,179
1048576,1,4,8192,512,5,1,2048,42.3225,51.5998000000,216.1790000000,36766.6000000000,120,180
1048576,2,8,2048,2048,5,0,2048,454.545,0.0000109000,0.0000610000,0.0367194000,128,181
1048576,0,8,2048,2048,5,0,2048,653.384,0.0000110000,0.0000916000,0.0377423000,128,182
1048576,1,8,2048,2048,5,0,2048,1311.48,0.6399730000,2.0054300000,1447.9600000000,128,183
1048576,2,8,2048,2048,5,1,2048,238.706,47.6752000000,224.9810000000,18261.7000000000,128,184
1048576,0,8,2048,2048,5,1,2048,236.667,63.2329000000,420.6400000000,18275.4000000000,128,185
1048576,1,8,2048,2048,5,1,2048,238.91,95.9988000000,304.8910000000,20779.4000000000,128,186
1048576,2,4,4096,1024,5,0,2048,113.569,0.0000132000,0.0000610000,723.2410000000,204,187
1048576,0,4,4096,1024,5,0,2048,149.606,0.2743740000,0.9684450000,723.2770000000,204,188
1048576,0,4,4096,1024,5,1,2048,93.5827,61.1641000000,224.1650000000,14545.2000000000,204,189
1048576,2,4,4096,1024,5,1,2048,93.9329,60.7763000000,173.8670000000,14554.8000000000,204,190
1048576,1,4,4096,1024,5,0,2048,265.214,15.3382000000,42.0501000000,33457.5000000000,204,191
1048576,1,4,4096,1024,5,1,2048,94.4929,69.8831000000,165.3510000000,36866.2000000000,204,192
1048576,2,4,2048,2048,5,0,2048,453.636,0.0000119000,0.0000610000,723.2780000000,256,193
1048576,0,4,2048,2048,5,0,2048,654.32,0.2973840000,0.9725650000,723.2890000000,256,194
1048576,2,4,2048,2048,5,1,2048,238.477,85.4393000000,224.9490000000,14560.0000000000,256,195
1048576,0,4,2048,2048,5,1,2048,235.561,91.9990000000,312.8210000000,14577.2000000000,256,196
1048576,1,4,2048,2048,5,0,2048,1310.44,15.4174000000,41.8125000000,33459.1000000000,256,197
1048576,1,4,2048,2048,5,1,2048,239.58,94.8351000000,258.5690000000,36824.9000000000,256,198
